Title,Director,Genre,Cast,combined
lullaby,andrew levitas,drama,garrett hedlund richard jenkins jessica brown findlay,lullaby andrew levitas drama garrett hedlund richard jenkins jessica brown findlay
murder 101,christian i. nyby ii,tv movie mystery,dick van dyke barry van dyke tracey needham,murder 101 christian i. nyby ii tv movie mystery dick van dyke barry van dyke tracey needham
obvious child,gillian robespierre,comedy romance,jenny slate jake lacy gaby hoffmann,obvious child gillian robespierre comedy romance jenny slate jake lacy gaby hoffmann
the signal,william eubank,thriller science fiction,brenton thwaites olivia cooke beau knapp,the signal william eubank thriller science fiction brenton thwaites olivia cooke beau knapp
jersey boys,clint eastwood,music drama,john lloyd young vincent piazza michael lomenda,jersey boys clint eastwood music drama john lloyd young vincent piazza michael lomenda
think like a man too,tim story,comedy romance,kevin hart michael ealy jerry ferrara,think like a man too tim story comedy romance kevin hart michael ealy jerry ferrara
america: imagine the world without her,john sullivan,documentary,dinesh d'souza barack obama josh bonzie,america: imagine the world without her john sullivan documentary dinesh d'souza barack obama josh bonzie
they came together,david wain,comedy,paul rudd amy poehler bill hader,they came together david wain comedy paul rudd amy poehler bill hader
transformers: age of extinction,michael bay,science fiction action adventure,mark wahlberg stanley tucci nicola peltz,transformers: age of extinction michael bay science fiction action adventure mark wahlberg stanley tucci nicola peltz
deliver us from evil,scott derrickson,thriller crime horror,eric bana olivia munn edgar ramírez,deliver us from evil scott derrickson thriller crime horror eric bana olivia munn edgar ramírez
earth to echo,dave green,family adventure science fiction,teo halm astro resse hartwig,earth to echo dave green family adventure science fiction teo halm astro resse hartwig
school dance,nick cannon,comedy music drama,patrick warburton wilmer valderrama efren ramirez,school dance nick cannon comedy music drama patrick warburton wilmer valderrama efren ramirez
tammy,ben falcone,comedy,melissa mccarthy susan sarandon kathy bates,tammy ben falcone comedy melissa mccarthy susan sarandon kathy bates
boyhood,richard linklater,drama,ellar coltrane patricia arquette ethan hawke,boyhood richard linklater drama ellar coltrane patricia arquette ethan hawke
dawn of the planet of the apes,matt reeves,science fiction action drama thriller,andy serkis jason clarke gary oldman,dawn of the planet of the apes matt reeves science fiction action drama thriller andy serkis jason clarke gary oldman
rage,patrick magee,horror,casey gagliardi andrew joseph montgomery eloy casados,rage patrick magee horror casey gagliardi andrew joseph montgomery eloy casados
road to paloma,jason momoa,thriller drama,jason momoa robert homer mollohan lisa bonet,road to paloma jason momoa thriller drama jason momoa robert homer mollohan lisa bonet
snowpiercer,bong joon-ho,action science fiction drama,chris evans song kang-ho ed harris,snowpiercer bong joon-ho action science fiction drama chris evans song kang-ho ed harris
i origins,mike cahill,science fiction drama,michael pitt brit marling astrid bergès-frisbey,i origins mike cahill science fiction drama michael pitt brit marling astrid bergès-frisbey
persecuted,daniel lusko,action drama adventure thriller,james remar bruce davison dean stockwell,persecuted daniel lusko action drama adventure thriller james remar bruce davison dean stockwell
planes: fire & rescue,roberts gannaway,animation comedy adventure family,ed harris dane cook julie bowen,planes: fire & rescue roberts gannaway animation comedy adventure family ed harris dane cook julie bowen
the purge: anarchy,james demonaco,horror thriller,frank grillo justina machado jack conley,the purge: anarchy james demonaco horror thriller frank grillo justina machado jack conley
sex tape,jake kasdan,comedy,cameron diaz jason segel rob corddry,sex tape jake kasdan comedy cameron diaz jason segel rob corddry
tiger orange,wade gasque,drama,mark strano frankie valenti darryl stephens,tiger orange wade gasque drama mark strano frankie valenti darryl stephens
wish i was here,zach braff,drama comedy,zach braff kate hudson joey king,wish i was here zach braff drama comedy zach braff kate hudson joey king
and so it goes,rob reiner,comedy drama romance,michael douglas diane keaton sterling jerins,and so it goes rob reiner comedy drama romance michael douglas diane keaton sterling jerins
happy christmas,joe swanberg,comedy drama,anna kendrick melanie lynskey mark webber,happy christmas joe swanberg comedy drama anna kendrick melanie lynskey mark webber
hercules,ron clements,animation family fantasy adventure comedy romance,tate donovan josh keaton roger bart,hercules ron clements animation family fantasy adventure comedy romance tate donovan josh keaton roger bart
magic in the moonlight,woody allen,comedy drama romance,colin firth emma stone hamish linklater,magic in the moonlight woody allen comedy drama romance colin firth emma stone hamish linklater
a most wanted man,anton corbijn,thriller,philip seymour hoffman willem dafoe robin wright,a most wanted man anton corbijn thriller philip seymour hoffman willem dafoe robin wright
my man is a loser,mike young,comedy,tika sumpter john stamos michael rapaport,my man is a loser mike young comedy tika sumpter john stamos michael rapaport
get on up,tate taylor,drama music,chadwick boseman nelsan ellis dan aykroyd,get on up tate taylor drama music chadwick boseman nelsan ellis dan aykroyd
guardians of the galaxy,james gunn,adventure action science fiction,chris pratt zoe saldana dave bautista,guardians of the galaxy james gunn adventure action science fiction chris pratt zoe saldana dave bautista
mercenaries,christopher ray,action,zoë bell kristanna loken vivica a. fox,mercenaries christopher ray action zoë bell kristanna loken vivica a. fox
4 minute mile,charles-olivier michaud,drama,richard jenkins lio tipton cam gigandet,4 minute mile charles-olivier michaud drama richard jenkins lio tipton cam gigandet
the hundred-foot journey,lasse hallström,drama comedy,helen mirren manish dayal om puri,the hundred-foot journey lasse hallström drama comedy helen mirren manish dayal om puri
into the storm,steven quale,action thriller,richard armitage sarah wayne callies alycia debnam-carey,into the storm steven quale action thriller richard armitage sarah wayne callies alycia debnam-carey
step up: all in,trish sie,romance drama music,briana evigan ryan guzman chaton anderson,step up: all in trish sie romance drama music briana evigan ryan guzman chaton anderson
teenage mutant ninja turtles,david leitch,science fiction action adventure comedy,megan fox will arnett william fichtner,teenage mutant ninja turtles david leitch science fiction action adventure comedy megan fox will arnett william fichtner
let's be cops,nicholas mastandrea,comedy,jake johnson damon wayans jr. nina dobrev,let's be cops nicholas mastandrea comedy jake johnson damon wayans jr. nina dobrev
the expendables 3,patrick hughes,action adventure thriller,sylvester stallone jason statham harrison ford,the expendables 3 patrick hughes action adventure thriller sylvester stallone jason statham harrison ford
the giver,phillip noyce,drama science fiction,brenton thwaites odeya rush jeff bridges,the giver phillip noyce drama science fiction brenton thwaites odeya rush jeff bridges
life after beth,jeff baena,romance comedy horror,aubrey plaza dane dehaan john c. reilly,life after beth jeff baena romance comedy horror aubrey plaza dane dehaan john c. reilly
the one i love,charlie mcdowell,romance comedy drama,mark duplass elisabeth moss ted danson,the one i love charlie mcdowell romance comedy drama mark duplass elisabeth moss ted danson
if i stay,r.j. cutler,drama,chloë grace moretz jamie blackley liana liberato,if i stay r.j. cutler drama chloë grace moretz jamie blackley liana liberato
leprechaun: origins,zach lipovsky,horror,stephanie bennett garry chalk dylan postl,leprechaun: origins zach lipovsky horror stephanie bennett garry chalk dylan postl
love is strange,ira sachs,drama,john lithgow alfred molina marisa tomei,love is strange ira sachs drama john lithgow alfred molina marisa tomei
the prince,simon wells,adventure animation drama family,val kilmer ralph fiennes michelle pfeiffer,the prince simon wells adventure animation drama family val kilmer ralph fiennes michelle pfeiffer
sin city: a dame to kill for,robert rodriguez,crime action thriller,mickey rourke jessica alba bruce willis,sin city: a dame to kill for robert rodriguez crime action thriller mickey rourke jessica alba bruce willis
"as above, so below",john erick dowdle,horror thriller,perdita weeks ben feldman edwin hodge,"as above, so below john erick dowdle horror thriller perdita weeks ben feldman edwin hodge"
cake,daniel barnz,drama,jennifer aniston anna kendrick william h. macy,cake daniel barnz drama jennifer aniston anna kendrick william h. macy
atlas shrugged: part iii,james manera,drama science fiction mystery,eric allan kramer rob morrow stephen tobolowsky,atlas shrugged: part iii james manera drama science fiction mystery eric allan kramer rob morrow stephen tobolowsky
dolphin tale 2,charles martin smith,family drama,morgan freeman ashley judd nathan gamble,dolphin tale 2 charles martin smith family drama morgan freeman ashley judd nathan gamble
honeymoon,leigh janiak,horror science fiction,rose leslie harry treadaway ben huber,honeymoon leigh janiak horror science fiction rose leslie harry treadaway ben huber
no good deed,sam miller,crime thriller,idris elba taraji p. henson leslie bibb,no good deed sam miller crime thriller idris elba taraji p. henson leslie bibb
the guest,adam wingard,mystery thriller action,dan stevens maika monroe brendan meyer,the guest adam wingard mystery thriller action dan stevens maika monroe brendan meyer
a walk among the tombstones,scott frank,crime drama mystery thriller,liam neeson dan stevens david harbour,a walk among the tombstones scott frank crime drama mystery thriller liam neeson dan stevens david harbour
the maze runner,h.h. cooper,action mystery science fiction thriller,dylan o'brien kaya scodelario ki hong lee,the maze runner h.h. cooper action mystery science fiction thriller dylan o'brien kaya scodelario ki hong lee
the scribbler,john suits,thriller,katie cassidy eliza dushku sasha grey,the scribbler john suits thriller katie cassidy eliza dushku sasha grey
the skeleton twins,craig johnson,drama,bill hader kristen wiig luke wilson,the skeleton twins craig johnson drama bill hader kristen wiig luke wilson
this is where i leave you,shawn levy,drama comedy,jason bateman tina fey jane fonda,this is where i leave you shawn levy drama comedy jason bateman tina fey jane fonda
tusk,kevin smith,comedy horror drama thriller,michael parks justin long haley joel osment,tusk kevin smith comedy horror drama thriller michael parks justin long haley joel osment
the boxtrolls,anthony stacchi,animation comedy family fantasy,ben kingsley isaac hempstead-wright elle fanning,the boxtrolls anthony stacchi animation comedy family fantasy ben kingsley isaac hempstead-wright elle fanning
the equalizer,antoine fuqua,thriller action crime,denzel washington marton csokas chloë grace moretz,the equalizer antoine fuqua thriller action crime denzel washington marton csokas chloë grace moretz
the song,richard ramsey,music romance drama,alan powell ali faulkner caitlin nicol-thomas,the song richard ramsey music romance drama alan powell ali faulkner caitlin nicol-thomas
the two faces of january,hossein amini,thriller,viggo mortensen kirsten dunst oscar isaac,the two faces of january hossein amini thriller viggo mortensen kirsten dunst oscar isaac
annabelle,john r. leonetti,horror,annabelle wallis ward horton tony amendola,annabelle john r. leonetti horror annabelle wallis ward horton tony amendola
gone girl,david fincher,mystery thriller drama,ben affleck rosamund pike neil patrick harris,gone girl david fincher mystery thriller drama ben affleck rosamund pike neil patrick harris
the good lie,philippe falardeau,drama,reese witherspoon corey stoll thad luckinbill,the good lie philippe falardeau drama reese witherspoon corey stoll thad luckinbill
left behind,vic armstrong,thriller action science fiction,nicolas cage chad michael murray lea thompson,left behind vic armstrong thriller action science fiction nicolas cage chad michael murray lea thompson
last shift,anthony diblasi,horror thriller,juliana harkavy joshua mikel j. larose,last shift anthony diblasi horror thriller juliana harkavy joshua mikel j. larose
addicted,bille woodruff,drama thriller,boris kodjoe brandon gonzales cameron mills,addicted bille woodruff drama thriller boris kodjoe brandon gonzales cameron mills
"alexander and the terrible, horrible, no good, very bad day",miguel arteta,family comedy,kerris dorsey jennifer garner dylan minnette,"alexander and the terrible, horrible, no good, very bad day miguel arteta family comedy kerris dorsey jennifer garner dylan minnette"
dracula untold,david leitch,horror action drama fantasy war,luke evans dominic cooper sarah gadon,dracula untold david leitch horror action drama fantasy war luke evans dominic cooper sarah gadon
the judge,david dobkin,drama,robert downey jr. robert duvall vera farmiga,the judge david dobkin drama robert downey jr. robert duvall vera farmiga
