Title,Director,Genre,Cast,combined
hollywood ending,woody allen,comedy,george hamilton téa leoni debra messing,hollywood ending woody allen comedy george hamilton téa leoni debra messing
home room,paul f. ryan,drama,erika christensen busy philipps victor garber,home room paul f. ryan drama erika christensen busy philipps victor garber
the hot chick,tom brady,comedy,rob schneider rachel mcadams anna faris,the hot chick tom brady comedy rob schneider rachel mcadams anna faris
the hours,stephen daldry,drama,nicole kidman julianne moore meryl streep,the hours stephen daldry drama nicole kidman julianne moore meryl streep
hysterical blindness,mira nair,drama,uma thurman gena rowlands juliette lewis,hysterical blindness mira nair drama uma thurman gena rowlands juliette lewis
i spy,betty thomas,action,eddie murphy owen wilson famke janssen,i spy betty thomas action eddie murphy owen wilson famke janssen
ice age,"chris wedge, carlos saldanha",animation,ray romano john leguizamo denis leary,"ice age chris wedge, carlos saldanha animation ray romano john leguizamo denis leary"
igby goes down,burr steers,comedy  drama,kieran culkin claire danes jeff goldblum,igby goes down burr steers comedy  drama kieran culkin claire danes jeff goldblum
impostor,gary fleder,science fiction,gary sinise madeleine stowe mekhi phifer,impostor gary fleder science fiction gary sinise madeleine stowe mekhi phifer
interstate 60,bob gale,comedy  drama,james marsden gary oldman amy smart,interstate 60 bob gale comedy  drama james marsden gary oldman amy smart
insomnia,christopher nolan,thriller,al pacino robin williams hilary swank,insomnia christopher nolan thriller al pacino robin williams hilary swank
jackass: the movie,jeff tremaine,reality,johnny knoxville bam margera steve-o,jackass: the movie jeff tremaine reality johnny knoxville bam margera steve-o
jason x,james isaac,horror,kane hodder lexa doig chuck campbell,jason x james isaac horror kane hodder lexa doig chuck campbell
john q,nick cassavetes,crime drama,denzel washington james woods kimberly elise,john q nick cassavetes crime drama denzel washington james woods kimberly elise
jonah: a veggietales movie,"phil vischer, mike nawrocki",animation,phil vischer mike nawrocki tim hodge,"jonah: a veggietales movie phil vischer, mike nawrocki animation phil vischer mike nawrocki tim hodge"
juwanna mann,jesse vaughan,comedy,miguel a. núñez  jr. vivica a. fox kevin pollak,juwanna mann jesse vaughan comedy miguel a. núñez  jr. vivica a. fox kevin pollak
k-19: the widowmaker,kathryn bigelow,historical drama,harrison ford liam neeson peter sarsgaard,k-19: the widowmaker kathryn bigelow historical drama harrison ford liam neeson peter sarsgaard
k-9: p.i.,richard j. lewis,comedy,jim belushi gary basaraba jody racicot,k-9: p.i. richard j. lewis comedy jim belushi gary basaraba jody racicot
the kid stays in the picture,"nanette burstein, brett morgen",documentary,norma shearer ali macgraw catherine deneuve,"the kid stays in the picture nanette burstein, brett morgen documentary norma shearer ali macgraw catherine deneuve"
killing me softly,chen kaige,drama  mystery  romance,heather graham joseph fiennes natascha mcelhone,killing me softly chen kaige drama  mystery  romance heather graham joseph fiennes natascha mcelhone
kiss the bride,vanessa parise,romance,tori spelling philipp karner james o'shea,kiss the bride vanessa parise romance tori spelling philipp karner james o'shea
kung pow! enter the fist,steve oedekerk,comedy,chen hui-lou tad horino jennifer tung,kung pow! enter the fist steve oedekerk comedy chen hui-lou tad horino jennifer tung
the laramie project,moisés kaufman,crime drama,laura linney christina ricci steve buscemi,the laramie project moisés kaufman crime drama laura linney christina ricci steve buscemi
last call,henry bromell,drama,jeremy piven taryn manning bruce dern,last call henry bromell drama jeremy piven taryn manning bruce dern
laurel canyon,lisa cholodenko,drama,frances mcdormand christian bale kate beckinsale,laurel canyon lisa cholodenko drama frances mcdormand christian bale kate beckinsale
life or something like it,stephen herek,comedy,angelina jolie edward burns tony shalhoub,life or something like it stephen herek comedy angelina jolie edward burns tony shalhoub
like mike,john schultz,comedy,shad moss morris chestnut jonathan lipnicki,like mike john schultz comedy shad moss morris chestnut jonathan lipnicki
lilo & stitch,"chris sanders, dean deblois",animation,daveigh chase chris sanders tia carrere,"lilo & stitch chris sanders, dean deblois animation daveigh chase chris sanders tia carrere"
the lord of the rings: the two towers,peter jackson,adventure  fantasy,elijah wood ian mckellen liv tyler,the lord of the rings: the two towers peter jackson adventure  fantasy elijah wood ian mckellen liv tyler
maid in manhattan,wayne wang,romance,jennifer lopez natasha richardson ralph fiennes,maid in manhattan wayne wang romance jennifer lopez natasha richardson ralph fiennes
the master of disguise,perry andelin blake,comedy,dana carvey brent spiner jennifer esposito,the master of disguise perry andelin blake comedy dana carvey brent spiner jennifer esposito
men in black ii,barry sonnenfeld,comedy  science fiction,will smith tommy lee jones lara flynn boyle,men in black ii barry sonnenfeld comedy  science fiction will smith tommy lee jones lara flynn boyle
minority report,steven spielberg,science fiction,tom cruise colin farrell samantha morton,minority report steven spielberg science fiction tom cruise colin farrell samantha morton
moonlight mile,brad silberling,romance,jake gyllenhaal dustin hoffman susan sarandon,moonlight mile brad silberling romance jake gyllenhaal dustin hoffman susan sarandon
the mothman prophecies,mark pellington,drama,richard gere laura linney will patton,the mothman prophecies mark pellington drama richard gere laura linney will patton
mr. deeds,steven brill,comedy,adam sandler winona ryder john turturro,mr. deeds steven brill comedy adam sandler winona ryder john turturro
murder by numbers,barbet schroeder,crime drama,sandra bullock ben chaplin ryan gosling,murder by numbers barbet schroeder crime drama sandra bullock ben chaplin ryan gosling
narc,joe carnahan,crime drama,jason patric ray liotta chi mcbride,narc joe carnahan crime drama jason patric ray liotta chi mcbride
national lampoon's van wilder,walt becker,comedy,ryan reynolds tara reid tim matheson,national lampoon's van wilder walt becker comedy ryan reynolds tara reid tim matheson
new best friend,zoe clarke-williams,thriller,mia kirshner meredith monroe dominique swain,new best friend zoe clarke-williams thriller mia kirshner meredith monroe dominique swain
the new guy,ed decter,comedy,dj qualls eliza dushku zooey deschanel,the new guy ed decter comedy dj qualls eliza dushku zooey deschanel
nicholas nickleby,douglas mcgrath,drama,charlie hunnam nathan lane jim broadbent,nicholas nickleby douglas mcgrath drama charlie hunnam nathan lane jim broadbent
night at the golden eagle,adam rifkin,drama,vinnie jones vinny argiro ann magnuson,night at the golden eagle adam rifkin drama vinnie jones vinny argiro ann magnuson
on line,jed weintrob,drama,john travolta kate bosworth devon sawa,on line jed weintrob drama john travolta kate bosworth devon sawa
one hour photo,mark romanek,thriller,robin williams connie nielsen michael vartan,one hour photo mark romanek thriller robin williams connie nielsen michael vartan
orange county,jake kasdan,comedy,colin hanks jack black schuyler fisk,orange county jake kasdan comedy colin hanks jack black schuyler fisk
paid in full,charles stone iii,crime drama,wood harris cam'ron mekhi phifer,paid in full charles stone iii crime drama wood harris cam'ron mekhi phifer
panic room,david fincher,thriller,jodie foster kristen stewart forest whitaker,panic room david fincher thriller jodie foster kristen stewart forest whitaker
path to war,john frankenheimer,drama  biography,michael gambon donald sutherland alec baldwin,path to war john frankenheimer drama  biography michael gambon donald sutherland alec baldwin
personal velocity: three portraits,rebecca miller,drama,kyra sedgwick parker posey fairuza balk,personal velocity: three portraits rebecca miller drama kyra sedgwick parker posey fairuza balk
pinocchio,roberto benigni,family,dickie jones cliff edwards christian rub,pinocchio roberto benigni family dickie jones cliff edwards christian rub
poolhall junkies,mars callahan,thriller,ricky schroder chazz palminteri rod steiger,poolhall junkies mars callahan thriller ricky schroder chazz palminteri rod steiger
possession,neil labute,drama,isabelle adjani sam neill margit carstensen,possession neil labute drama isabelle adjani sam neill margit carstensen
the powerpuff girls movie,craig mccracken,animation,cathy cavadini tara strong elizabeth daily,the powerpuff girls movie craig mccracken animation cathy cavadini tara strong elizabeth daily
prisoner of paradise,"malcolm clarke, stuart sender",documentary,ian holm robert lantz eleonore hertzberg,"prisoner of paradise malcolm clarke, stuart sender documentary ian holm robert lantz eleonore hertzberg"
pumpkin,"anthony abrams, adam larson broder",comedy,christina ricci hank harris brenda blethyn,"pumpkin anthony abrams, adam larson broder comedy christina ricci hank harris brenda blethyn"
punch-drunk love,paul thomas anderson,comedy  drama,adam sandler emily watson philip seymour hoffman,punch-drunk love paul thomas anderson comedy  drama adam sandler emily watson philip seymour hoffman
queen of the damned,michael rymer,horror,stuart townsend aaliyah marguerite moreau,queen of the damned michael rymer horror stuart townsend aaliyah marguerite moreau
the quiet american,phillip noyce,drama,michael caine brendan fraser do thi hai yen,the quiet american phillip noyce drama michael caine brendan fraser do thi hai yen
r.s.v.p.,mark anthony galluzzo,comedy,rick otto jason mewes majandra delfino,r.s.v.p. mark anthony galluzzo comedy rick otto jason mewes majandra delfino
real women have curves,patricia cardoso,comedy,america ferrera lupe ontiveros ingrid oliu,real women have curves patricia cardoso comedy america ferrera lupe ontiveros ingrid oliu
red dragon,brett ratner,crime drama,anthony hopkins edward norton ralph fiennes,red dragon brett ratner crime drama anthony hopkins edward norton ralph fiennes
reign of fire,rob bowman,adventure,christian bale matthew mcconaughey izabella scorupco,reign of fire rob bowman adventure christian bale matthew mcconaughey izabella scorupco
return to never land,"robin budd, donovan cook",animation,harriet owen blayne weaver jeff bennett,"return to never land robin budd, donovan cook animation harriet owen blayne weaver jeff bennett"
the ring,gore verbinski,horror,naomi watts martin henderson david dorfman,the ring gore verbinski horror naomi watts martin henderson david dorfman
ripley's game,liliana cavani,thriller,john malkovich dougray scott ray winstone,ripley's game liliana cavani thriller john malkovich dougray scott ray winstone
road to perdition,sam mendes,crime drama,tom hanks paul newman jude law,road to perdition sam mendes crime drama tom hanks paul newman jude law
roger dodger,dylan kidd,comedy,campbell scott jesse eisenberg isabella rossellini,roger dodger dylan kidd comedy campbell scott jesse eisenberg isabella rossellini
rollerball,john mctiernan,science fiction,james caan john houseman maud adams,rollerball john mctiernan science fiction james caan john houseman maud adams
the rookie,john lee hancock,biography,dennis quaid rachel griffiths jay hernandez,the rookie john lee hancock biography dennis quaid rachel griffiths jay hernandez
the rules of attraction,roger avary,comedy,james van der beek shannyn sossamon ian somerhalder,the rules of attraction roger avary comedy james van der beek shannyn sossamon ian somerhalder
s1m0ne,andrew niccol,science fiction,al pacino rachel roberts catherine keener,s1m0ne andrew niccol science fiction al pacino rachel roberts catherine keener
the salton sea,d. j. caruso,crime drama,val kilmer vincent d'onofrio adam goldberg,the salton sea d. j. caruso crime drama val kilmer vincent d'onofrio adam goldberg
the santa clause 2,michael lembeck,comedy,tim allen elizabeth mitchell david krumholtz,the santa clause 2 michael lembeck comedy tim allen elizabeth mitchell david krumholtz
scooby-doo,raja gosnell,family,freddie prinze jr. sarah michelle gellar matthew lillard,scooby-doo raja gosnell family freddie prinze jr. sarah michelle gellar matthew lillard
the scorpion king,chuck russell,action,dwayne johnson kelly hu michael clarke duncan,the scorpion king chuck russell action dwayne johnson kelly hu michael clarke duncan
the secret lives of dentists,alan rudolph,drama,campbell scott robin tunney hope davis,the secret lives of dentists alan rudolph drama campbell scott robin tunney hope davis
secretary,steven shainberg,drama,maggie gyllenhaal james spader jeremy davies,secretary steven shainberg drama maggie gyllenhaal james spader jeremy davies
serving sara,reginald hudlin,romance,matthew perry elizabeth hurley vincent pastore,serving sara reginald hudlin romance matthew perry elizabeth hurley vincent pastore
showboy,christian taylor,mockumentary,whoopi goldberg erich miller,showboy christian taylor mockumentary whoopi goldberg erich miller
showtime,tom dey,crime comedy,robert de niro eddie murphy rene russo,showtime tom dey crime comedy robert de niro eddie murphy rene russo
the singles ward,kurt hale,comedy,will swenson connie young kirby heyborne,the singles ward kurt hale comedy will swenson connie young kirby heyborne
signs,m. night shyamalan,science fiction,mel gibson joaquin phoenix rory culkin,signs m. night shyamalan science fiction mel gibson joaquin phoenix rory culkin
slackers,dewey nicks,comedy,devon sawa jaime king jason segel,slackers dewey nicks comedy devon sawa jaime king jason segel
snow dogs,brian levant,family,cuba gooding jr. james coburn sisqó,snow dogs brian levant family cuba gooding jr. james coburn sisqó
solaris,steven soderbergh,science fiction,george clooney natascha mcelhone viola davis,solaris steven soderbergh science fiction george clooney natascha mcelhone viola davis
sorority boys,wallace wolodarsky,comedy,barry watson michael rosenbaum harland williams,sorority boys wallace wolodarsky comedy barry watson michael rosenbaum harland williams
spellbound,jeffrey blitz,documentary,ingrid bergman gregory peck michael chekhov,spellbound jeffrey blitz documentary ingrid bergman gregory peck michael chekhov
spider-man,sam raimi,superhero,tobey maguire willem dafoe kirsten dunst,spider-man sam raimi superhero tobey maguire willem dafoe kirsten dunst
spirit: stallion of the cimarron,"kelly asbury, lorna cook",animation,matt damon james cromwell charles napier,"spirit: stallion of the cimarron kelly asbury, lorna cook animation matt damon james cromwell charles napier"
spun,jonas åkerlund,comedy,jason schwartzman mickey rourke brittany murphy,spun jonas åkerlund comedy jason schwartzman mickey rourke brittany murphy
spy kids 2: the island of lost dreams,robert rodriguez,action,alexa penavega daryl sabara antonio banderas,spy kids 2: the island of lost dreams robert rodriguez action alexa penavega daryl sabara antonio banderas
star wars: episode ii – attack of the clones,george lucas,science fiction,hayden christensen ewan mcgregor natalie portman,star wars: episode ii – attack of the clones george lucas science fiction hayden christensen ewan mcgregor natalie portman
star trek nemesis,stuart baird,science fiction,patrick stewart jonathan frakes brent spiner,star trek nemesis stuart baird science fiction patrick stewart jonathan frakes brent spiner
state property,abdul malik abbott,crime drama,beanie sigel omillio sparks memphis bleek,state property abdul malik abbott crime drama beanie sigel omillio sparks memphis bleek
stealing harvard,bruce mcculloch,comedy,jason lee tom green leslie mann,stealing harvard bruce mcculloch comedy jason lee tom green leslie mann
stevie,steve james,documentary,stephen fielding tonya gregory bernice hagler,stevie steve james documentary stephen fielding tonya gregory bernice hagler
stolen summer,pete jones,drama,adiel stein mike weinberg aidan quinn,stolen summer pete jones drama adiel stein mike weinberg aidan quinn
stuart little 2,rob minkoff,family,michael j. fox melanie griffith nathan lane,stuart little 2 rob minkoff family michael j. fox melanie griffith nathan lane
the sum of all fears,phil alden robinson,thriller,ben affleck morgan freeman james cromwell,the sum of all fears phil alden robinson thriller ben affleck morgan freeman james cromwell
sunshine state,john sayles,drama,bill cobbs alan king angela bassett,sunshine state john sayles drama bill cobbs alan king angela bassett
the sweetest thing,roger kumble,comedy,cameron diaz selma blair christina applegate,the sweetest thing roger kumble comedy cameron diaz selma blair christina applegate
sweet home alabama,andy tennant,comedy,reese witherspoon josh lucas patrick dempsey,sweet home alabama andy tennant comedy reese witherspoon josh lucas patrick dempsey
swept away,guy ritchie,adventure,madonna adriano giannini bruce greenwood,swept away guy ritchie adventure madonna adriano giannini bruce greenwood
swimfan,john polson,thriller,jesse bradford erika christensen shiri appleby,swimfan john polson thriller jesse bradford erika christensen shiri appleby
tadpole,gary winick,comedy,aaron stanford kate mara bebe neuwirth,tadpole gary winick comedy aaron stanford kate mara bebe neuwirth
they,robert harmon,horror,jonathan majors idris elba regina king,they robert harmon horror jonathan majors idris elba regina king
time changer,rich christiano,science fiction,d. david morin gavin macleod hal linden,time changer rich christiano science fiction d. david morin gavin macleod hal linden
the time machine,simon wells,science fiction,guy pearce samantha mumba omero mumba,the time machine simon wells science fiction guy pearce samantha mumba omero mumba
timequest,robert dyke,science fiction,victor slezak caprice benedetti vince grant,timequest robert dyke science fiction victor slezak caprice benedetti vince grant
the transporter,corey yuen,action,jason statham shu qi françois berléand,the transporter corey yuen action jason statham shu qi françois berléand
trapped,luis mandoki,crime,charlize theron courtney love kevin bacon,trapped luis mandoki crime charlize theron courtney love kevin bacon
treasure planet,"ron clements, john musker",animation,joseph gordon-levitt brian murray emma thompson,"treasure planet ron clements, john musker animation joseph gordon-levitt brian murray emma thompson"
the trials of henry kissinger,eugene jarecki,documentary,unknown,the trials of henry kissinger eugene jarecki documentary unknown
the truth about charlie,jonathan demme,thriller,mark wahlberg thandiwe newton tim robbins,the truth about charlie jonathan demme thriller mark wahlberg thandiwe newton tim robbins
tuck everlasting,jay russell,drama,alexis bledel william hurt sissy spacek,tuck everlasting jay russell drama alexis bledel william hurt sissy spacek
the tuxedo,kevin donovan,action  comedy,jackie chan jennifer love hewitt jason isaacs,the tuxedo kevin donovan action  comedy jackie chan jennifer love hewitt jason isaacs
two weeks notice,marc lawrence,comedy,sandra bullock hugh grant alicia witt,two weeks notice marc lawrence comedy sandra bullock hugh grant alicia witt
undercover brother,malcolm d. lee,action,eddie griffin chris kattan denise richards,undercover brother malcolm d. lee action eddie griffin chris kattan denise richards
undisputed,walter hill,drama,scott adkins mykel shannon jenkins mark ivanir,undisputed walter hill drama scott adkins mykel shannon jenkins mark ivanir
unfaithful,adrian lyne,thriller,richard gere diane lane olivier martinez,unfaithful adrian lyne thriller richard gere diane lane olivier martinez
waking up in reno,jordan brady,comedy,natasha richardson charlize theron billy bob thornton,waking up in reno jordan brady comedy natasha richardson charlize theron billy bob thornton
a walk to remember,adam shankman,romance,mandy moore shane west peter coyote,a walk to remember adam shankman romance mandy moore shane west peter coyote
we were soldiers,randall wallace,war,mel gibson greg kinnear madeleine stowe,we were soldiers randall wallace war mel gibson greg kinnear madeleine stowe
welcome to collinwood,"anthony russo, joe russo",crime  comedy,william h. macy isaiah washington sam rockwell,"welcome to collinwood anthony russo, joe russo crime  comedy william h. macy isaiah washington sam rockwell"
white oleander,peter kosminsky,drama,alison lohman michelle pfeiffer renée zellweger,white oleander peter kosminsky drama alison lohman michelle pfeiffer renée zellweger
the wild thornberrys movie,"cathy malkasian, jeff mcgrath",animation,lacey chabert tom kane cree summer,"the wild thornberrys movie cathy malkasian, jeff mcgrath animation lacey chabert tom kane cree summer"
windtalkers,john woo,war,nicolas cage adam beach peter stormare,windtalkers john woo war nicolas cage adam beach peter stormare
xxx,rob cohen,action,jenna jameson ron jeremy tera patrick,xxx rob cohen action jenna jameson ron jeremy tera patrick
zig zag,david s. goyer,drama,john leguizamo wesley snipes oliver platt,zig zag david s. goyer drama john leguizamo wesley snipes oliver platt
11:14,greg marcks,crime  drama,rachael leigh cook hilary swank shawn hatosy,11:14 greg marcks crime  drama rachael leigh cook hilary swank shawn hatosy
101 dalmatians ii: patch's london adventure,jim kammerud,animation  family,barry bostwick jason alexander martin short,101 dalmatians ii: patch's london adventure jim kammerud animation  family barry bostwick jason alexander martin short
2 fast 2 furious,john singleton,action  crime,paul walker tyrese gibson eva mendes,2 fast 2 furious john singleton action  crime paul walker tyrese gibson eva mendes
21 grams,alejandro gonzález iñárritu,crime  drama,sean penn naomi watts benicio del toro,21 grams alejandro gonzález iñárritu crime  drama sean penn naomi watts benicio del toro
44 minutes: the north hollywood shoot-out,yves simoneau,action,michael madsen ron livingston ray baker,44 minutes: the north hollywood shoot-out yves simoneau action michael madsen ron livingston ray baker
abby singer,ryan williams,comedy  drama,gloria smith clint j. palmer robin ballard,abby singer ryan williams comedy  drama gloria smith clint j. palmer robin ballard
afro-punk,james spooner,documentary,danielle vitalis larrington walker jamie kenna,afro-punk james spooner documentary danielle vitalis larrington walker jamie kenna
agent cody banks,harald zwart,action  family,frankie muniz hilary duff angie harmon,agent cody banks harald zwart action  family frankie muniz hilary duff angie harmon
aileen: life and death of a serial killer,"nick broomfield, joan churchill",documentary,aileen wuornos diane wuornos arlene pralle,"aileen: life and death of a serial killer nick broomfield, joan churchill documentary aileen wuornos diane wuornos arlene pralle"
alex & emma,rob reiner,romantic comedy,luke wilson kate hudson sophie marceau,alex & emma rob reiner romantic comedy luke wilson kate hudson sophie marceau
alien hunter,ron krauss,action  science fiction,james spader janine eser john lynch,alien hunter ron krauss action  science fiction james spader janine eser john lynch
all the real girls,david gordon green,drama  romance,paul schneider zooey deschanel shea whigham,all the real girls david gordon green drama  romance paul schneider zooey deschanel shea whigham
amandla!: a revolution in four-part harmony,lee hirsch,documentary,walter cronkite f.w. de klerk jesse jackson,amandla!: a revolution in four-part harmony lee hirsch documentary walter cronkite f.w. de klerk jesse jackson
american splendor,"robert pulcini, shari springer berman",comedy-drama,paul giamatti hope davis judah friedlander,"american splendor robert pulcini, shari springer berman comedy-drama paul giamatti hope davis judah friedlander"
american wedding,jesse dylan,comedy,jason biggs alyson hannigan seann william scott,american wedding jesse dylan comedy jason biggs alyson hannigan seann william scott
anger management,peter segal,comedy,adam sandler jack nicholson marisa tomei,anger management peter segal comedy adam sandler jack nicholson marisa tomei
anne b. real,lisa france,drama,carlos leon janice richardson julia mora,anne b. real lisa france drama carlos leon janice richardson julia mora
anything else,woody allen,romantic comedy,jason biggs christina ricci stockard channing,anything else woody allen romantic comedy jason biggs christina ricci stockard channing
baadasssss!,mario van peebles,biography  drama,mario van peebles joy bryant khleo thomas,baadasssss! mario van peebles biography  drama mario van peebles joy bryant khleo thomas
bad boys ii,michael bay,action  comedy,will smith martin lawrence gabrielle union,bad boys ii michael bay action  comedy will smith martin lawrence gabrielle union
bad santa,terry zwigoff,comedy  crime,billy bob thornton tony cox brett kelly,bad santa terry zwigoff comedy  crime billy bob thornton tony cox brett kelly
basic,john mctiernan,thriller,michael douglas sharon stone george dzundza,basic john mctiernan thriller michael douglas sharon stone george dzundza
the battle of shaker heights,"efram potelle, kyle rankin",comedy  drama,shia labeouf elden henson amy smart,"the battle of shaker heights efram potelle, kyle rankin comedy  drama shia labeouf elden henson amy smart"
bells of innocence,alin bijan,horror,chuck norris mike norris carey scott,bells of innocence alin bijan horror chuck norris mike norris carey scott
the best two years,scott s. anderson,comedy  drama,k.c. clyde kirby heyborne cameron hopkin,the best two years scott s. anderson comedy  drama k.c. clyde kirby heyborne cameron hopkin
beyond borders,martin campbell,romance  war,angelina jolie clive owen teri polo,beyond borders martin campbell romance  war angelina jolie clive owen teri polo
big fish,tim burton,comedy  drama  fantasy,ewan mcgregor albert finney billy crudup,big fish tim burton comedy  drama  fantasy ewan mcgregor albert finney billy crudup
biker boyz,reggie rock bythewood,action,laurence fishburne derek luke orlando jones,biker boyz reggie rock bythewood action laurence fishburne derek luke orlando jones
black cadillac,john murlowski,horror,randy quaid shane johnson josh hammond,black cadillac john murlowski horror randy quaid shane johnson josh hammond
blind horizon,michael haussman,drama,val kilmer neve campbell sam shepard,blind horizon michael haussman drama val kilmer neve campbell sam shepard
blizzard,levar burton,family,paul bates brenda blethyn brittany bristow,blizzard levar burton family paul bates brenda blethyn brittany bristow
boat trip,mort nathan,comedy,cuba gooding jr. horatio sanz roselyn sánchez,boat trip mort nathan comedy cuba gooding jr. horatio sanz roselyn sánchez
bringing down the house,adam shankman,crime  comedy,steve martin queen latifah eugene levy,bringing down the house adam shankman crime  comedy steve martin queen latifah eugene levy
bringing rain,noah buschel,drama  romance,adrian grenier alexis dziena merritt wever,bringing rain noah buschel drama  romance adrian grenier alexis dziena merritt wever
brother bear,"aaron blaise, bob walker",animation  family,joaquin phoenix jeremy suarez jason raize,"brother bear aaron blaise, bob walker animation  family joaquin phoenix jeremy suarez jason raize"
the brown bunny,vincent gallo,drama,vincent gallo chloë sevigny cheryl tiegs,the brown bunny vincent gallo drama vincent gallo chloë sevigny cheryl tiegs
bruce almighty,tom shadyac,comedy  fantasy,jim carrey morgan freeman jennifer aniston,bruce almighty tom shadyac comedy  fantasy jim carrey morgan freeman jennifer aniston
bulletproof monk,paul hunter,action  comedy,chow yun-fat seann william scott jaime king,bulletproof monk paul hunter action  comedy chow yun-fat seann william scott jaime king
camp,todd graff,comedy  musical,frank welker matthew lillard grey delisle,camp todd graff comedy  musical frank welker matthew lillard grey delisle
carolina,marleen gorris,romantic comedy,julia stiles alessandro nivola shirley maclaine,carolina marleen gorris romantic comedy julia stiles alessandro nivola shirley maclaine
casa de los babys,john sayles,drama,daryl hannah lili taylor mary steenburgen,casa de los babys john sayles drama daryl hannah lili taylor mary steenburgen
the cat in the hat,bo welch,family  comedy,mike myers dakota fanning spencer breslin,the cat in the hat bo welch family  comedy mike myers dakota fanning spencer breslin
charlie's angels: full throttle,mcg,action  comedy,cameron diaz drew barrymore lucy liu,charlie's angels: full throttle mcg action  comedy cameron diaz drew barrymore lucy liu
chasing papi,linda mendoza,comedy,roselyn sánchez sofía vergara jaci velasquez,chasing papi linda mendoza comedy roselyn sánchez sofía vergara jaci velasquez
cheaper by the dozen,shawn levy,comedy  family,steve martin bonnie hunt piper perabo,cheaper by the dozen shawn levy comedy  family steve martin bonnie hunt piper perabo
christmas child,bill ewing,drama,william r. moses tonya bordeaux steven curtis chapman,christmas child bill ewing drama william r. moses tonya bordeaux steven curtis chapman
coffee and cigarettes,jim jarmusch,comedy  drama,roberto benigni steven wright joie lee,coffee and cigarettes jim jarmusch comedy  drama roberto benigni steven wright joie lee
cold creek manor,mike figgis,drama  thriller,dennis quaid sharon stone stephen dorff,cold creek manor mike figgis drama  thriller dennis quaid sharon stone stephen dorff
cold mountain,anthony minghella,romance  war,jude law nicole kidman renée zellweger,cold mountain anthony minghella romance  war jude law nicole kidman renée zellweger
comandante,oliver stone,documentary,juanita vera fidel castro che guevara,comandante oliver stone documentary juanita vera fidel castro che guevara
the company,robert altman,drama  musical,ben affleck tommy lee jones chris cooper,the company robert altman drama  musical ben affleck tommy lee jones chris cooper
confidence,james foley,crime,edward burns rachel weisz andy garcía,confidence james foley crime edward burns rachel weisz andy garcía
the cooler,wayne kramer,drama  romance,william h. macy alec baldwin maria bello,the cooler wayne kramer drama  romance william h. macy alec baldwin maria bello
the core,jon amiel,action  science fiction,aaron eckhart hilary swank delroy lindo,the core jon amiel action  science fiction aaron eckhart hilary swank delroy lindo
cosmopolitan,nisha ganatra,comedy  drama  romance,roshan seth carol kane madhur jaffrey,cosmopolitan nisha ganatra comedy  drama  romance roshan seth carol kane madhur jaffrey
cradle 2 the grave,andrzej bartkowiak,action,jet li dmx kelly hu,cradle 2 the grave andrzej bartkowiak action jet li dmx kelly hu
crime spree,brad mirman,comedy  crime,gérard depardieu harvey keitel johnny hallyday,crime spree brad mirman comedy  crime gérard depardieu harvey keitel johnny hallyday
daddy day care,steve carr,comedy  family,eddie murphy jeff garlin steve zahn,daddy day care steve carr comedy  family eddie murphy jeff garlin steve zahn
daredevil,mark steven johnson,superhero,ben affleck jennifer garner colin farrell,daredevil mark steven johnson superhero ben affleck jennifer garner colin farrell
dark blue,ron shelton,crime  drama,kurt russell scott speedman michael michele,dark blue ron shelton crime  drama kurt russell scott speedman michael michele
darkness falls,jonathan liebesman,horror,chaney kley emma caulfield lee cormie,darkness falls jonathan liebesman horror chaney kley emma caulfield lee cormie
deliver us from eva,gary hardwick,romantic comedy,ll cool j gabrielle union kym whitley,deliver us from eva gary hardwick romantic comedy ll cool j gabrielle union kym whitley
devil's pond,joel viertel,drama,kip pardue tara reid meredith baxter,devil's pond joel viertel drama kip pardue tara reid meredith baxter
dickie roberts: former child star,sam weisman,comedy,david spade mary mccormack jon lovitz,dickie roberts: former child star sam weisman comedy david spade mary mccormack jon lovitz
le divorce,james ivory,drama  romance,kate hudson naomi watts glenn close,le divorce james ivory drama  romance kate hudson naomi watts glenn close
down with love,peyton reed,romantic comedy,renée zellweger ewan mcgregor sarah paulson,down with love peyton reed romantic comedy renée zellweger ewan mcgregor sarah paulson
dreamcatcher,lawrence kasdan,horror  science fiction,niki koss zachary gordon travis burns,dreamcatcher lawrence kasdan horror  science fiction niki koss zachary gordon travis burns
dumb and dumberer: when harry met lloyd,troy miller,comedy,derek richardson eric christian olsen mimi rogers,dumb and dumberer: when harry met lloyd troy miller comedy derek richardson eric christian olsen mimi rogers
duplex,danny devito,comedy,ben stiller drew barrymore eileen essell,duplex danny devito comedy ben stiller drew barrymore eileen essell
dysfunktional family,george gallo,performance film,eddie griffin joe howard matthew brent,dysfunktional family george gallo performance film eddie griffin joe howard matthew brent
elephant,gus van sant,crime  drama,alex frost eric deulen john robinson,elephant gus van sant crime  drama alex frost eric deulen john robinson
elf,jon favreau,comedy  family,will ferrell james caan bob newhart,elf jon favreau comedy  family will ferrell james caan bob newhart
evil alien conquerors,chris matheson,science fiction  comedy,michael weston diedrich bader chris parnell,evil alien conquerors chris matheson science fiction  comedy michael weston diedrich bader chris parnell
faster,mark neale,documentary,dwayne johnson billy bob thornton oliver jackson-cohen,faster mark neale documentary dwayne johnson billy bob thornton oliver jackson-cohen
