Title,Director,Genre,Cast
Despicable Me,Pierre Coffin,Family Animation Comedy,Steve Carell Jason Segel Russell Brand
Predators,Nimród Antal,Science Fiction Action Thriller,Adrien Brody Topher Grace Alice Braga
The Kids Are All Right,Lisa Cholodenko,Comedy Drama,Julianne Moore Annette Bening Mark Ruffalo
The Girl Who Played With Fire,Daniel Alfredson,Drama Action Thriller Crime Mystery,Michael Nyqvist Noomi Rapace Lena Endre
REC 2,Jaume Balagueró,Thriller Horror,Jonathan D. Mellor Óscar Zafra Ariel Casas
StreetDance 3D,Max Giwa,Music Romance Drama,Nichola Burley Richard Winsor Ukweli Roach
Valhalla Rising,Nicolas Winding Refn,Adventure Drama Action Fantasy,Mads Mikkelsen Gary Lewis Jamie Sives
Winnebago Man,Ben Steinbauer,Documentary Comedy,Jack Rebney Nick Prueher Joe Pickett
The Sorcerer's Apprentice,Jon Turteltaub,Fantasy Adventure Action,Nicolas Cage Jay Baruchel Alfred Molina
Inception,Christopher Nolan,Action Science Fiction Adventure,Leonardo DiCaprio Joseph Gordon-Levitt Ken Watanabe
Fred: The Movie,Clay Weiner,Comedy Family Adventure TV Movie,Lucas Cruikshank Jennette McCurdy Jake Weary
Kisses,Elaine Constantine,Romance,Reese Witherspoon Benedict Cumberbatch Steve Carell
Standing Ovation,Stewart Raffill,Comedy Music Family,Kayla Jackson Kayla Raparelli Sal Dupree
Ramona and Beezus,Elizabeth Allen Rosenbaum,Comedy Family,Joey King Selena Gomez John Corbett
Salt,Phillip Noyce,Action Mystery Thriller,Angelina Jolie Liev Schreiber Chiwetel Ejiofor
Countdown to Zero,Lucy Walker,Documentary,Graham Allison James Baker III Bruce Blair
Farewell,Lulu Wang,Comedy Drama,Awkwafina Tzi Ma Diana Lin
Life During Wartime,Todd Solondz,Comedy Drama,Shirley Henderson Michael Kenneth Williams Ally Sheedy
Mugabe and the White African,Lucy Bailey,Documentary,
Spoken Word,Victor Nunez,Drama,Kuno Becker Miguel Sandoval Rubén Blades
Cats & Dogs: The Revenge of Kitty Galore,Brad Peyton,Comedy Family Action Fantasy Adventure Mystery,James Marsden Nick Nolte Christina Applegate
Charlie St. Cloud,Burr Steers,Romance Drama,Zac Efron Charlie Tahan Amanda Crew
Dinner for Schmucks,Jay Roach,Comedy,Steve Carell Paul Rudd Zach Galifianakis
The Dry Land,Ryan Piers Williams,Drama,America Ferrera Jason Ritter Wilmer Valderrama
The Extra Man,Shari Springer Berman,Comedy,Kevin Kline Paul Dano Katie Holmes
Get Low,Aaron Schneider,Comedy Drama Mystery,Bill Murray Sissy Spacek Robert Duvall
"Hugh Hefner: Playboy, Activist and Rebel",Brigitte Berman,Documentary,Joan Baez Pat Boone Tony Curtis
Smash His Camera,Leon Gast,Documentary,John Loengard
What's the Matter with Kansas?,Joe Winston,Comedy Documentary Romance,Alyssa Barden Brittany Barden Dawn Barden
Flipped,Rob Reiner,Romance Drama,Madeline Carroll Callan McAuliffe Rebecca De Mornay
